spot,maturity,price,delta,gamma,vega,payoff
101,0.5,7.50001,0.624699,0.0265544,27.0881,1
101.5,0.5,7.81566,0.637868,0.026116,26.9053,1.5
102,0.5,8.13784,0.650812,0.0256559,26.6924,2
102.5,0.5,8.46644,0.663521,0.0251759,26.4504,2.5
103,0.5,8.80132,0.675985,0.0246778,26.1807,3
103.5,0.5,9.14238,0.688196,0.0241635,25.8845,3.5
104,0.5,9.48947,0.700146,0.0236348,25.5634,4
104.5,0.5,9.84248,0.711828,0.0230935,25.2186,4.5
105,0.5,10.2013,0.723237,0.0225413,24.8518,5
105.5,0.5,10.5657,0.734368,0.0219799,24.4642,5.5
106,0.5,10.9356,0.745216,0.0214112,24.0576,6
106.5,0.5,11.3108,0.755778,0.0208365,23.6333,6.5
107,0.5,11.6913,0.766052,0.0202576,23.1929,7
107.5,0.5,12.0768,0.776035,0.0196759,22.738,7.5
108,0.5,12.4673,0.785728,0.0190929,22.2699,8
108.5,0.5,12.8625,0.795128,0.0185099,21.7903,8.5
109,0.5,13.2624,0.804238,0.0179283,21.3006,9
109.5,0.5,13.6667,0.813057,0.0173493,20.8022,9.5
110,0.5,14.0754,0.821588,0.016774,20.2965,10
110.5,0.5,14.4883,0.829832,0.0162036,19.785,10.5
111,0.5,14.9052,0.837792,0.015639,19.2688,11
111.5,0.5,15.326,0.845472,0.0150812,18.7494,11.5
112,0.5,15.7506,0.852875,0.0145311,18.2279,12
112.5,0.5,16.1788,0.860004,0.0139895,17.7055,12.5
113,0.5,16.6106,0.866866,0.0134571,17.1834,13
113.5,0.5,17.0456,0.873463,0.0129345,16.6625,13.5
114,0.5,17.484,0.879802,0.0124223,16.1441,14
114.5,0.5,17.9254,0.885887,0.0119211,15.6289,14.5
115,0.5,18.3698,0.891725,0.0114313,15.1179,15
115.5,0.5,18.8171,0.897321,0.0109532,14.6119,15.5
116,0.5,19.2671,0.90268,0.0104873,14.1117,16
116.5,0.5,19.7197,0.90781,0.0100338,13.6181,16.5
117,0.5,20.1749,0.912716,0.00959285,13.1317,17
117.5,0.5,20.6324,0.917405,0.00916471,12.653,17.5
118,0.5,21.0922,0.921883,0.00874947,12.1828,18
118.5,0.5,21.5543,0.926157,0.00834719,11.7213,18.5
119,0.5,22.0184,0.930232,0.00795792,11.2692,19
119.5,0.5,22.4845,0.934117,0.00758164,10.8268,19.5
120,0.5,22.9525,0.937816,0.0072183,10.3944,20
80,1,1.85942,0.221922,0.0185982,23.8057,0
80.5,1,1.97272,0.231302,0.0189197,24.5209,0
81,1,2.09075,0.240839,0.0192262,25.2287,0
81.5,1,2.21358,0.250526,0.0195172,25.9277,0
82,1,2.3413,0.260354,0.0197922,26.6166,0
82.5,1,2.47396,0.270315,0.0200508,27.2942,0
83,1,2.61163,0.280402,0.0202926,27.9592,0
83.5,1,2.75438,0.290605,0.0205173,28.6103,0
84,1,2.90226,0.300916,0.0207245,29.2464,0
84.5,1,3.05531,0.311327,0.0209141,29.8664,0
85,1,3.2136,0.321827,0.0210859,30.4692,0
85.5,1,3.37715,0.33241,0.0212398,31.0537,0
86,1,3.54602,0.343064,0.0213757,31.6189,0
86.5,1,3.72023,0.353782,0.0214935,32.1639,0
87,1,3.89981,0.364555,0.0215933,32.6879,0
87.5,1,4.08479,0.375373,0.0216751,33.19,0
88,1,4.27519,0.386227,0.021739,33.6694,0
88.5,1,4.47102,0.397109,0.0217853,34.1255,0
89,1,4.6723,0.408009,0.021814,34.5577,0
89.5,1,4.87903,0.41892,0.0218254,34.9654,0
90,1,5.09122,0.429832,0.0218197,35.348,0
90.5,1,5.30886,0.440737,0.0217974,35.7052,0
91,1,5.53196,0.451626,0.0217586,36.0365,0
91.5,1,5.76049,0.462493,0.0217037,36.3418,0
92,1,5.99444,0.473327,0.0216332,36.6206,0
92.5,1,6.23381,0.484123,0.0215474,36.8729,0
93,1,6.47856,0.494872,0.0214467,37.0986,0
93.5,1,6.72867,0.505568,0.0213317,37.2975,0
94,1,6.98412,0.516202,0.0212028,37.4696,0
94.5,1,7.24486,0.526768,0.0210605,37.6151,0
95,1,7.51087,0.53726,0.0209053,37.7341,0
95.5,1,7.78211,0.547671,0.0207377,37.8267,0
96,1,8.05853,0.557996,0.0205583,37.893,0
96.5,1,8.34009,0.568228,0.0203676,37.9335,0
97,1,8.62674,0.578362,0.020166,37.9485,0
97.5,1,8.91843,0.588392,0.0199543,37.9382,0
98,1,9.21511,0.598314,0.019733,37.9031,0
98.5,1,9.51673,0.608124,0.0195025,37.8436,0
99,1,9.82322,0.617815,0.0192635,37.7602,0
99.5,1,10.1345,0.627386,0.0190165,37.6535,0
100,1,10.4506,0.636831,0.018762,37.524,0
100.5,1,10.7713,0.646147,0.0185007,37.3723,0.5
101,1,11.0967,0.65533,0.018233,37.199,1
